timestamp,pod_name,namespace,cpu_allocation_efficiency,memory_allocation_efficiency,disk_io,network_latency,node_temperature,node_cpu_usage,node_memory_usage,event_type,event_message,scaling_event,pod_lifetime_seconds
01/01/2023 00:00,pod_0,dev,0.038162109,0.949259465,9.993579253,13.72254182,77.61907274,93.17761868,37.90053228,Warning,Killed,FALSE,119648
01/01/2023 00:00,pod_1,default,0.500763066,0.04854319,935.7924417,55.49395319,84.1822447,61.44228937,5.208161183,Error,Failed,TRUE,144516
01/01/2023 00:00,pod_2,kube-system,0.746725532,0.447344937,328.3523591,173.9100156,21.29524371,55.81931108,18.33580154,Normal,Completed,TRUE,68857
01/01/2023 00:00,pod_3,default,0.526692486,0.870250565,778.2977085,67.39572922,85.02882928,78.96846332,94.61968914,Warning,OOMKilled,TRUE,72080
01/01/2023 00:00,pod_4,prod,0.425341862,0.885459197,711.1812951,91.7247296,29.15769546,52.71814146,70.77059408,Error,Killed,FALSE,123016
01/01/2023 00:00,pod_5,prod,0.776035203,0.978772253,971.8009216,31.38605968,88.42245419,61.19323772,70.04846641,Normal,Started,FALSE,36448
01/01/2023 00:00,pod_6,dev,0.789513577,0.977271725,883.0492634,121.0049649,34.08381423,38.79629665,15.08128715,Error,Failed,TRUE,131936
01/01/2023 00:00,pod_7,prod,0.963772218,0.429529707,965.4258435,129.9685821,63.20302041,24.04587814,56.86012854,Normal,Killed,TRUE,94023
01/01/2023 00:00,pod_8,dev,0.022299239,0.467882598,426.5803398,103.5656198,23.76793343,23.27731315,60.79819949,Normal,Started,FALSE,32166
01/01/2023 00:00,pod_9,default,0.780019383,0.778220409,788.3285141,1.63037772,21.57882763,48.8638555,64.85843403,Normal,Started,TRUE,82975
01/01/2023 00:00,pod_10,dev,0.172274059,0.753025185,907.1325158,67.9746557,32.7549654,25.25642323,43.37245998,Warning,Started,TRUE,180014
01/01/2023 00:00,pod_11,default,0.747687903,0.80375407,990.4250417,30.67230832,85.92389787,17.35688536,37.10633606,Warning,Completed,TRUE,179401
01/01/2023 00:00,pod_12,dev,0.81251515,0.134777823,852.1192625,122.2863904,41.91629457,12.36919383,57.2552981,Warning,Failed,TRUE,173976
01/01/2023 00:00,pod_13,dev,0.354114038,0.992757476,964.4159038,156.6628299,89.43796155,37.97045108,49.14535926,Error,Killed,FALSE,197616
01/01/2023 00:00,pod_14,default,0.342024053,0.764793637,381.124295,97.49480298,92.6592492,43.50049912,79.96173414,Warning,Killed,FALSE,78103
01/01/2023 00:00,pod_15,prod,0.511985353,0.28041777,154.7733322,192.5128797,51.63492902,80.55911878,38.42609407,Error,Killed,TRUE,93589
01/01/2023 00:00,pod_16,dev,0.045942513,0.638657496,744.8148766,85.62148932,34.42428153,11.94799365,41.72689785,Normal,OOMKilled,TRUE,155576
01/01/2023 00:00,pod_17,dev,0.289358546,0.422794502,33.56696706,181.7216342,88.32558651,16.66147608,92.21582847,Error,Started,TRUE,81781
01/01/2023 00:00,pod_18,default,0.481552363,0.425022316,993.145288,117.6658452,96.48217648,43.83132504,13.87830123,Error,Completed,FALSE,70093
01/01/2023 00:00,pod_19,prod,0.416677857,0.75812548,189.6050301,88.42487691,26.70572655,24.82193829,88.71462324,Normal,Failed,FALSE,49955
01/01/2023 00:00,pod_20,kube-system,0.798531893,0.136385319,662.5456784,33.38712122,24.08300914,35.10302493,29.79685307,Normal,Started,FALSE,153660
01/01/2023 00:00,pod_21,dev,0.26105298,0.083288792,259.8149417,165.7644875,56.63561518,9.892361033,62.70772729,Normal,Killed,FALSE,142263
01/01/2023 00:00,pod_22,default,0.944224388,0.440163921,802.4096598,29.00279602,73.89484231,56.55725106,78.05454706,Warning,Completed,FALSE,155873
01/01/2023 00:00,pod_23,default,0.128241138,0.391080478,205.5800068,100.334905,37.52270173,79.0037025,60.00500713,Warning,OOMKilled,TRUE,80212
01/01/2023 00:00,pod_24,prod,0.539438993,0.852080174,78.57072229,133.4948643,74.79337061,65.57690854,91.36973576,Warning,Failed,TRUE,108240
01/01/2023 00:00,pod_25,default,0.047819636,0.047219658,850.3384818,5.491355101,82.36306861,99.48021503,98.62635272,Warning,OOMKilled,TRUE,104207
01/01/2023 00:00,pod_26,dev,0.591702,0.580651037,966.0354782,173.6510926,33.72001234,95.79872393,82.88211547,Warning,Completed,TRUE,30122
01/01/2023 00:00,pod_27,dev,0.425506904,0.578589562,321.0411532,152.3763438,69.07295285,5.554761734,1.717300663,Warning,Completed,TRUE,120104
